measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,value,upper,lower
1,Deaths,22,Fiji,1,Male,22,All ages,294,All causes,1,Number,2021,5286.82408977949,6824.055096995468,3967.744605997395
1,Deaths,22,Fiji,2,Female,22,All ages,294,All causes,1,Number,2021,4161.4800797254775,5175.699527101058,3222.9319709878328
1,Deaths,22,Fiji,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,22,Fiji,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,22,Fiji,1,Male,22,All ages,294,All causes,3,Rate,2021,1129.1320561446348,1457.4457617779644,847.4100044084274
1,Deaths,22,Fiji,2,Female,22,All ages,294,All causes,3,Rate,2021,912.097606979939,1134.390424242399,706.3901501100205
1,Deaths,202,Cameroon,1,Male,22,All ages,294,All causes,1,Number,2021,146671.48706185547,170357.12838456023,127796.77548791972
1,Deaths,202,Cameroon,2,Female,22,All ages,294,All causes,1,Number,2021,114013.87279277456,134779.81019552503,98023.95073467116
1,Deaths,202,Cameroon,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,202,Cameroon,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,202,Cameroon,1,Male,22,All ages,294,All causes,3,Rate,2021,924.345418134255,1073.6158351102574,805.3941924293207
1,Deaths,202,Cameroon,2,Female,22,All ages,294,All causes,3,Rate,2021,716.526396972422,847.0310622598785,616.0368603965823
1,Deaths,88,Malta,1,Male,22,All ages,294,All causes,1,Number,2021,1891.1653155310264,1994.5150407050394,1793.9839007124247
1,Deaths,88,Malta,2,Female,22,All ages,294,All causes,1,Number,2021,2144.155191226395,2276.5821105020977,2019.292516067855
1,Deaths,88,Malta,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,88,Malta,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,88,Malta,1,Male,22,All ages,294,All causes,3,Rate,2021,854.7189538161421,901.4282331438009,810.7974644984282
1,Deaths,88,Malta,2,Female,22,All ages,294,All causes,3,Rate,2021,970.3927892766247,1030.3260105737997,913.8829619472258
1,Deaths,186,Seychelles,1,Male,22,All ages,294,All causes,1,Number,2021,486.1673130617711,524.5674611440014,454.7135629510522
1,Deaths,186,Seychelles,2,Female,22,All ages,294,All causes,1,Number,2021,375.06095870261,405.85335420978527,345.2138929026815
1,Deaths,186,Seychelles,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,186,Seychelles,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,186,Seychelles,1,Male,22,All ages,294,All causes,3,Rate,2021,874.9766906804879,944.0871256849109,818.3679935468921
1,Deaths,186,Seychelles,2,Female,22,All ages,294,All causes,3,Rate,2021,752.1069223743546,813.8546817187189,692.254825588966
1,Deaths,154,Tunisia,1,Male,22,All ages,294,All causes,1,Number,2021,61459.10929908698,74659.5286429752,50222.97542527496
1,Deaths,154,Tunisia,2,Female,22,All ages,294,All causes,1,Number,2021,41980.09789334391,49960.40531964804,34759.07774346849
1,Deaths,154,Tunisia,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,154,Tunisia,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,154,Tunisia,1,Male,22,All ages,294,All causes,3,Rate,2021,1042.5313209541616,1266.450130918707,851.9326997981407
1,Deaths,154,Tunisia,2,Female,22,All ages,294,All causes,3,Rate,2021,705.8566812851287,840.0382005821386,584.4418782174051
1,Deaths,121,Bolivia (Plurinational State of),1,Male,22,All ages,294,All causes,1,Number,2021,67765.6563609578,78372.87441884211,59780.83409603856
1,Deaths,121,Bolivia (Plurinational State of),2,Female,22,All ages,294,All causes,1,Number,2021,53174.575602103774,62028.68860635545,47023.26040543576
1,Deaths,121,Bolivia (Plurinational State of),1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,121,Bolivia (Plurinational State of),2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,121,Bolivia (Plurinational State of),1,Male,22,All ages,294,All causes,3,Rate,2021,1149.1667502975126,1329.043445364822,1013.7605173082759
1,Deaths,121,Bolivia (Plurinational State of),2,Female,22,All ages,294,All causes,3,Rate,2021,901.2350183485152,1051.2999056652823,796.978790605021
1,Deaths,55,Slovenia,1,Male,22,All ages,294,All causes,1,Number,2021,11675.202387982761,12088.95447139318,11233.58723543131
1,Deaths,55,Slovenia,2,Female,22,All ages,294,All causes,1,Number,2021,11344.095416564933,12001.60205187958,10709.66777002429
1,Deaths,55,Slovenia,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,55,Slovenia,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,55,Slovenia,1,Male,22,All ages,294,All causes,3,Rate,2021,1135.6559191033302,1175.9019025948041,1092.6996734388445
1,Deaths,55,Slovenia,2,Female,22,All ages,294,All causes,3,Rate,2021,1089.1097639570316,1152.2348409325004,1028.2004257507672
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,294,All causes,1,Number,2021,107782.38262189369,109050.72848893459,106580.78425168425
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,294,All causes,1,Number,2021,76312.20079444446,77546.15488978241,75148.40133555504
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,294,All causes,3,Rate,2021,921.6247550344865,932.4701169626159,911.3501370806505
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,294,All causes,3,Rate,2021,639.0307634499991,649.3637720567091,629.2852227766259
1,Deaths,187,Somalia,1,Male,22,All ages,294,All causes,1,Number,2021,133286.92223727287,162094.19362210206,109690.52372797007
1,Deaths,187,Somalia,2,Female,22,All ages,294,All causes,1,Number,2021,104433.19938148987,123917.73180684204,87726.18899622133
1,Deaths,187,Somalia,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,187,Somalia,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,187,Somalia,1,Male,22,All ages,294,All causes,3,Rate,2021,1206.2172155814976,1466.9166607712698,992.6750193188007
1,Deaths,187,Somalia,2,Female,22,All ages,294,All causes,3,Rate,2021,989.2760722028818,1173.8493862507387,831.0137024767981
1,Deaths,107,Barbados,1,Male,22,All ages,294,All causes,1,Number,2021,1639.6577503111534,1951.5554845815388,1358.8526508958694
1,Deaths,107,Barbados,2,Female,22,All ages,294,All causes,1,Number,2021,1655.1082138685513,1931.1398057292572,1402.071797122586
1,Deaths,107,Barbados,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,107,Barbados,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,107,Barbados,1,Male,22,All ages,294,All causes,3,Rate,2021,1137.6020325418244,1353.9981044561296,942.7781726342819
1,Deaths,107,Barbados,2,Female,22,All ages,294,All causes,3,Rate,2021,1068.556371010988,1246.7654534211654,905.1932307969025
1,Deaths,41,Uzbekistan,1,Male,22,All ages,294,All causes,1,Number,2021,108962.66211104752,124800.75209413738,95553.12502081816
1,Deaths,41,Uzbekistan,2,Female,22,All ages,294,All causes,1,Number,2021,90825.6080973483,102447.09330550663,79723.88359770385
1,Deaths,41,Uzbekistan,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,41,Uzbekistan,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,41,Uzbekistan,1,Male,22,All ages,294,All causes,3,Rate,2021,637.7447769634227,730.4431285648022,559.2604404475286
1,Deaths,41,Uzbekistan,2,Female,22,All ages,294,All causes,3,Rate,2021,529.6804115027642,597.4550534378106,464.9369308418993
1,Deaths,206,Gambia,1,Male,22,All ages,294,All causes,1,Number,2021,9783.789771344906,11222.888499657045,8330.865589993138
1,Deaths,206,Gambia,2,Female,22,All ages,294,All causes,1,Number,2021,7857.863921194278,9070.860134911034,6568.016054677348
1,Deaths,206,Gambia,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,206,Gambia,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,206,Gambia,1,Male,22,All ages,294,All causes,3,Rate,2021,829.8638967126874,951.9286698059495,706.6264446676687
1,Deaths,206,Gambia,2,Female,22,All ages,294,All causes,3,Rate,2021,646.6359268627218,746.4552847447168,540.4923261282471
1,Deaths,39,Tajikistan,1,Male,22,All ages,294,All causes,1,Number,2021,34349.56631080508,38919.0905319014,29586.93680617719
1,Deaths,39,Tajikistan,2,Female,22,All ages,294,All causes,1,Number,2021,24709.979749451082,27767.68797306488,21517.02891303432
1,Deaths,39,Tajikistan,1,Male,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,39,Tajikistan,2,Female,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,39,Tajikistan,1,Male,22,All ages,294,All causes,3,Rate,2021,667.2017283280278,755.9596017278224,574.6930017804615
1,Deaths,39,Tajikistan,2,Female,22,All ages,294,All causes,3,Rate,2021,493.0518499611936,554.0639880358043,429.341141466364
